最寄駅からの距離,面積,築年数,地上,階,地価,家賃,url
441.8902915933265,23.363425959063047,16,9,2.0,2422709,0.8864907251724818,https://suumo.jp/chintai/jnc_000077632901/?bc=100301829827
423.0777420395452,23.363425959063047,21,4,3.0,3411426,0.8808135922807914,https://suumo.jp/chintai/jnc_000077105470/?bc=100298746975
846.1554898820968,23.363425959063047,33,3,2.0,2448394,0.8388490907372553,https://suumo.jp/chintai/jnc_000076939553/?bc=100300163545
1126.603615098967,23.363425959063047,3,10,4.0,14625228,1.1139433523068367,https://suumo.jp/chintai/jnc_000075090544/?bc=100300489048
841.3340567666663,20.34486809575056,22,11,7.0,2422709,0.8573324964312685,https://suumo.jp/chintai/jnc_000076916521/?bc=100284134245
704.4882552688413,20.34486809575056,0,3,1.0,1272955,0.8061799739838872,https://suumo.jp/chintai/jnc_000077318957/?bc=100300513771
180.4009644307072,29.511726206524667,51,5,4.0,14625228,1.0413926851582251,https://suumo.jp/chintai/jnc_000075816348/?bc=100291136500
570.4779161122851,23.363425959063047,14,3,1.0,1545083,0.8633228601204559,https://suumo.jp/chintai/jnc_000077693208/?bc=100290340392
382.6882240873616,23.363425959063047,20,3,3.0,11969925,0.8633228601204559,https://suumo.jp/chintai/jnc_000067041040/?bc=100243126093
846.1554898820968,41.51835318394092,26,2,1.0,2457808,0.919078092376074,https://suumo.jp/chintai/jnc_000076874357/?bc=100283545505
869.8619132580933,41.51835318394092,0,8,3.0,14625228,1.3180633349627615,https://suumo.jp/chintai/jnc_000076168242/?bc=100290162039
979.8279979516816,58.676715183246074,35,4,1.0,1496795,0.8750612633917001,https://suumo.jp/chintai/jnc_000045471584/?bc=100301570844
451.0023911271641,29.511726206524667,19,7,2.0,2448394,1.0644579892269184,https://suumo.jp/chintai/jnc_000076240213/?bc=100293740161
180.4009644307072,23.363425959063047,20,12,5.0,14625228,0.9912260756924949,https://suumo.jp/chintai/jnc_000059810520/?bc=100296578537
533.63322400715,58.676715183246074,27,3,3.0,1854132,1.0791812460476249,https://suumo.jp/chintai/jnc_000076218218/?bc=100292840678
591.4840942743939,23.363425959063047,0,14,5.0,3411426,0.9822712330395684,https://suumo.jp/chintai/jnc_000077665321/?bc=100296278873
2132.6262333446225,23.363425959063047,3,2,2.0,1545083,0.919078092376074,https://suumo.jp/chintai/jnc_000076977538/?bc=100298013728
518.1623035266635,41.51835318394092,9,3,3.0,14625228,1.235528446907549,https://suumo.jp/chintai/jnc_000013350089/?bc=100300155490
0.0,58.676715183246074,6,60,37.0,11969925,1.5440680443502757,https://suumo.jp/chintai/jnc_000032371797/?bc=100299215661
2612.7016806581123,58.676715183246074,24,2,1.0,1545083,1.0530784434834197,https://suumo.jp/chintai/jnc_000043341882/?bc=100300887210
0.0,23.363425959063047,7,11,8.0,1442115,0.8976270912904415,https://suumo.jp/chintai/jnc_000077335710/?bc=100299929832
631.4033471320668,127.37758241758242,20,3,3.0,1854132,1.3617278360175928,https://suumo.jp/chintai/jnc_000076962465/?bc=100301750787
1468.357409341962,23.363425959063047,20,5,3.0,4034090,0.8808135922807914,https://suumo.jp/chintai/jnc_000077567885/?bc=100301340272
180.4009644307072,41.51835318394092,20,12,12.0,16507437,1.1986570869544226,https://suumo.jp/chintai/jnc_000077656358/?bc=100301923135
680.9986804798428,23.363425959063047,18,3,2.0,4034090,0.9084850188786497,https://suumo.jp/chintai/jnc_000065539008/?bc=100267089463
403.38880853108,20.34486809575056,33,3,2.0,3411426,0.8129133566428556,https://suumo.jp/chintai/jnc_000077519940/?bc=100301098309
668.9446530186427,23.363425959063047,11,10,10.0,2147815,0.9030899869919435,https://suumo.jp/chintai/jnc_000075878228/?bc=100291675406
860.4577236009038,31.99122774327122,34,2,2.0,2457808,0.8129133566428556,https://suumo.jp/chintai/jnc_000076786520/?bc=100287484047
541.2028684007807,20.34486809575056,44,2,1.0,2457808,0.6812412373755872,https://suumo.jp/chintai/jnc_000054086352/?bc=100296116021
624.9272435772695,29.511726206524667,0,9,3.0,4517355,1.0492180226701815,https://suumo.jp/chintai/jnc_000077453760/?bc=100300725456
732.7921511960558,20.34486809575056,40,5,3.0,4034090,0.7634279935629372,https://suumo.jp/chintai/jnc_000075848729/?bc=100292741505
